sector_code,full_id,field_name,labels,emb_x,emb_y
A,A,"Tên ngành: NÔNG NGHIỆP, LÂM NGHIỆP VÀ THUỶ SẢN",A,0.0145112033933401,-0.0089449128136038
1,A-1,Tên ngành: Nông nghiệp và hoạt động dịch vụ có liên quan,A,0.1695266664028167,-0.100892886519432
11,A-1-11,Tên ngành: Trồng cây hàng năm,A,0.1238439008593559,0.0269197020679712
1110,A-1-11-111-1110,Tên ngành: Trồng lúa,A,0.1590752154588699,0.0119861550629138
1120,A-1-11-112-1120,Tên ngành: Trồng ngô và cây lương thực có hạt khác,A,0.0730313658714294,0.0669645592570304
1130,A-1-11-113-1130,Tên ngành: Trồng cây lấy củ có chất bột,A,0.0960137024521827,0.1184263750910759
1140,A-1-11-114-1140,Tên ngành: Trồng cây mía,A,0.1111118122935295,0.0390338227152824
1150,A-1-11-115-1150,"Tên ngành: Trồng cây thuốc lá, thuốc lào",A,0.0518473386764526,0.0466638654470443
1160,A-1-11-116-1160,Tên ngành: Trồng cây lấy sợi,A,0.1132094487547874,0.038041528314352
1170,A-1-11-117-1170,Tên ngành: Trồng cây có hạt chứa dầu,A,0.0370077230036258,0.041038554161787
118,A-1-11-118,"Tên ngành: Trồng rau, đậu các loại và trồng hoa",A,0.055892489850521,0.0311248376965522
1181,A-1-11-118-1181,Tên ngành: Trồng rau các loại,A,0.1128315478563308,0.0151968272402882
1182,A-1-11-118-1182,Tên ngành: Trồng đậu các loại,A,0.1225434020161628,0.0356631204485893
1183,A-1-11-118-1183,Tên ngành: Trồng hoa hàng năm,A,0.1358033567667007,0.000590983312577
119,A-1-11-119,Tên ngành: Trồng cây hàng năm khác,A,0.1078494563698768,0.0300958938896656
1191,A-1-11-119-1191,Tên ngành: Trồng cây gia vị hàng năm,A,0.0583088211715221,0.048577893525362
1192,A-1-11-119-1192,"Tên ngành: Trồng cây dược liệu, hương liệu hàng năm",A,0.0535463355481624,0.0825083926320076
1199,A-1-11-119-1199,Tên ngành: Trồng cây hàng năm khác còn lại,A,0.0953938364982605,0.027258550748229
12,A-1-12,Tên ngành: Trồng cây lâu năm,A,0.1323193907737732,0.0397002883255481
121,A-1-12-121,Tên ngành: Trồng cây ăn quả,A,0.1463406085968017,0.0640623718500137
1211,A-1-12-121-1211,Tên ngành: Trồng nho,A,0.1751769036054611,0.0338789038360118
1212,A-1-12-121-1212,Tên ngành: Trồng cây ăn quả vùng nhiệt đới và cận nhiệt đới,A,0.086728036403656,0.0726246163249015
1213,A-1-12-121-1213,"Tên ngành: Trồng cam, quýt và các loại quả có múi khác",A,0.0802471116185188,0.1237685680389404
1214,A-1-12-121-1214,"Tên ngành: Trồng táo, mận và các loại quả có hạt như táo",A,0.092368297278881,0.0507720708847045
1215,A-1-12-121-1215,"Tên ngành: Trồng nhãn, vải, chôm chôm",A,0.0802157744765281,0.0618280507624149
1219,A-1-12-121-1219,Tên ngành: Trồng cây ăn quả khác,A,0.1358751952648162,0.0740228593349456
1220,A-1-12-122-1220,Tên ngành: Trồng cây lấy quả chứa dầu,A,0.1046991348266601,0.1060812845826149
1230,A-1-12-123-1230,Tên ngành: Trồng cây điều,A,0.1578897386789322,0.0808414965867996
1240,A-1-12-124-1240,Tên ngành: Trồng cây hồ tiêu,A,0.1173401698470115,0.0424989312887191
1250,A-1-12-125-1250,Tên ngành: Trồng cây cao su,A,0.1910065710544586,0.043663166463375
1260,A-1-12-126-1260,Tên ngành: Trồng cây cà phê,A,0.1260237991809845,0.0640916898846626
1270,A-1-12-127-1270,Tên ngành: Trồng cây chè,A,0.1041015461087226,0.060589775443077
128,A-1-12-128,"Tên ngành: Trồng cây gia vị, cây dược liệu, cây hương liệu lâu năm",A,0.0174286719411611,0.1010103523731231
1281,A-1-12-128-1281,Tên ngành: Trồng cây gia vị lâu năm,A,0.0926262140274047,0.0588447898626327
1282,A-1-12-128-1282,"Tên ngành: Trồng cây dược liệu, hương liệu lâu năm",A,0.0777643471956253,0.0974898114800453
129,A-1-12-129,Tên ngành: Trồng cây lâu năm khác,A,0.1353753060102462,0.0541656389832496
1291,A-1-12-129-1291,Tên ngành: Trồng cây cảnh lâu năm,A,0.1559735536575317,0.0508779473602771
1299,A-1-12-129-1299,Tên ngành: Trồng cây lâu năm khác còn lại,A,0.1255997121334076,0.046693630516529
13,A-1-13,Tên ngành: Nhân và chăm sóc cây giống nông nghiệp,A,0.1374447643756866,-0.0099349431693553
1310,A-1-13-131-1310,Tên ngành: Nhân và chăm sóc cây giống hàng năm,A,0.1380427926778793,0.0233410242944955
1320,A-1-13-132-1320,Tên ngành: Nhân và chăm sóc cây giống lâu năm,A,0.1411343365907669,0.0565082132816314
14,A-1-14,Tên ngành: Chăn nuôi,A,0.1347148418426513,-0.0291090887039899
141,A-1-14-141,"Tên ngành: Chăn nuôi trâu, bò và sản xuất giống trâu, bò",A,0.0434636622667312,0.1236518695950508
1411,A-1-14-141-1411,"Tên ngành: Sản xuất giống trâu, bò",A,0.0409536138176918,0.1634591668844223
1412,A-1-14-141-1412,"Tên ngành: Chăn nuôi trâu, bò",A,0.0920327231287956,0.0222817789763212
142,A-1-14-142,"Tên ngành: Chăn nuôi ngựa, lừa, la và sản xuất giống ngựa, lừa",A,0.0492769218981266,0.0889570564031601
1421,A-1-14-142-1421,"Tên ngành: Sản xuất giống ngựa, lừa",A,0.0783185064792633,0.1437943875789642
1422,A-1-14-142-1422,"Tên ngành: Chăn nuôi ngựa, lừa, la",A,0.1033183559775352,0.0059788692742586
144,A-1-14-144,"Tên ngành: Chăn nuôi dê, cừu và sản xuất giống dê, cừu, hươu, nai",A,0.063906043767929,0.10526804625988
